Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateApp,Chrome 62.0.3202.94,,2018-06-18 17:21:33,2018-06-18 17:25:06,3m - 32.731s,FAILED
,,,,,,
Test Cases/CreateApp/CreatAppNodata,Chrome 62.0.3202.94,,2018-06-18 17:21:34,2018-06-18 17:21:44,9.295s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:21:35,2018-06-18 17:21:42,6.894s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:42,0.441s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:42,0.140s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:42,0.125s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:43,0.315s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.112s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.118s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.346s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.076s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:44,0.290s,PASSED
,,,,,,
Test Cases/CreateApp/CreateAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:21:44,2018-06-18 17:22:20,36.749s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:21:44,2018-06-18 17:21:47,3.065s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:47,0.290s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:47,0.143s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:47,0.193s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:48,0.186s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:48,0.114s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:48,0.132s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:48,0.124s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:48,0.196s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:48,0.129s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:49,0.320s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:21:49,2018-06-18 17:22:20,31.630s,FAILED
,,,,,,
Test Cases/CreateApp/CreateAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:22:20,2018-06-18 17:22:58,37.385s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:22:20,2018-06-18 17:22:24,4.086s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:22:24,2018-06-18 17:22:25,0.351s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:22:25,2018-06-18 17:22:25,0.206s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:22:25,2018-06-18 17:22:25,0.126s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:22:25,2018-06-18 17:22:25,0.167s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:22:25,2018-06-18 17:22:25,0.129s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:22:25,2018-06-18 17:22:26,0.180s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:22:26,2018-06-18 17:22:26,0.110s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:22:26,2018-06-18 17:22:26,0.174s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:22:26,2018-06-18 17:22:26,0.172s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:22:26,2018-06-18 17:22:26,0.298s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:22:26,2018-06-18 17:22:58,31.362s,FAILED
,,,,,,
Test Cases/CreateApp/CreateAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:22:58,2018-06-18 17:23:35,37.154s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:22:58,2018-06-18 17:23:02,3.925s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:23:02,2018-06-18 17:23:02,0.261s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:02,2018-06-18 17:23:02,0.126s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:02,2018-06-18 17:23:02,0.164s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:23:02,2018-06-18 17:23:02,0.172s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:02,2018-06-18 17:23:03,0.126s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:03,2018-06-18 17:23:03,0.152s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:23:03,2018-06-18 17:23:03,0.117s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:03,2018-06-18 17:23:03,0.134s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:03,2018-06-18 17:23:03,0.125s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:23:03,2018-06-18 17:23:03,0.317s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:23:03,2018-06-18 17:23:35,31.515s,FAILED
,,,,,,
Test Cases/CreateApp/CreateAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:23:35,2018-06-18 17:24:12,37.079s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:23:35,2018-06-18 17:23:39,3.754s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:23:39,2018-06-18 17:23:39,0.259s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:39,2018-06-18 17:23:39,0.131s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:39,2018-06-18 17:23:39,0.173s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:23:39,2018-06-18 17:23:39,0.176s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:39,2018-06-18 17:23:40,0.129s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:40,2018-06-18 17:23:40,0.188s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:23:40,2018-06-18 17:23:40,0.119s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:40,2018-06-18 17:23:40,0.181s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:23:40,2018-06-18 17:23:40,0.192s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:23:40,2018-06-18 17:23:41,0.421s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:23:41,2018-06-18 17:24:12,31.334s,FAILED
,,,,,,
Test Cases/CreateApp/CreateAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:24:12,2018-06-18 17:24:48,35.974s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:24:12,2018-06-18 17:24:15,2.631s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:15,2018-06-18 17:24:15,0.267s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:15,2018-06-18 17:24:15,0.110s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:15,2018-06-18 17:24:15,0.099s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:24:15,2018-06-18 17:24:15,0.236s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:15,2018-06-18 17:24:16,0.139s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:16,2018-06-18 17:24:16,0.147s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:16,2018-06-18 17:24:16,0.137s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:16,2018-06-18 17:24:16,0.168s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:16,2018-06-18 17:24:16,0.146s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:16,2018-06-18 17:24:17,0.532s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:24:17,2018-06-18 17:24:48,31.341s,FAILED
,,,,,,
Test Cases/CreateApp/CreateAppValid,Chrome 62.0.3202.94,,2018-06-18 17:24:48,2018-06-18 17:24:53,5.042s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:24:48,2018-06-18 17:24:51,2.759s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:51,2018-06-18 17:24:51,0.315s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:51,2018-06-18 17:24:51,0.148s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:51,2018-06-18 17:24:52,0.201s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:52,0.214s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:52,0.118s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:52,0.130s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:52,0.125s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:52,0.188s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:52,0.128s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:52,2018-06-18 17:24:53,0.295s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:24:53,2018-06-18 17:24:53,0.114s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:24:53,2018-06-18 17:24:53,0.149s,PASSED
,,,,,,
Test Cases/CreateApp/CreateAppValid,Chrome 62.0.3202.94,,2018-06-18 17:24:53,2018-06-18 17:24:57,4.441s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:24:53,2018-06-18 17:24:56,2.513s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:56,2018-06-18 17:24:56,0.262s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:56,2018-06-18 17:24:56,0.173s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:56,2018-06-18 17:24:56,0.174s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:24:56,2018-06-18 17:24:56,0.159s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:56,2018-06-18 17:24:56,0.087s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:56,2018-06-18 17:24:57,0.121s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:24:57,0.097s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:24:57,0.169s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:24:57,0.138s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:24:57,0.263s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:24:57,0.091s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:24:57,0.178s,PASSED
,,,,,,
Test Cases/CreateApp/CreateAppValid,Chrome 62.0.3202.94,,2018-06-18 17:24:57,2018-06-18 17:25:02,4.380s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:24:58,2018-06-18 17:25:00,2.500s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:25:00,2018-06-18 17:25:00,0.300s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:00,2018-06-18 17:25:00,0.125s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:00,2018-06-18 17:25:01,0.150s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:01,0.186s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:01,0.115s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:01,0.137s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:01,0.116s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:01,0.149s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:01,0.103s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:25:01,2018-06-18 17:25:02,0.265s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:25:02,2018-06-18 17:25:02,0.084s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:25:02,2018-06-18 17:25:02,0.134s,PASSED
,,,,,,
Test Cases/CreateApp/CreateAppValid,Chrome 62.0.3202.94,,2018-06-18 17:25:02,2018-06-18 17:25:06,4.308s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:25:02,2018-06-18 17:25:04,2.518s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:25:04,2018-06-18 17:25:05,0.241s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:05,0.125s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:05,0.140s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:05,0.161s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:05,0.091s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:05,0.119s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:05,0.102s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:05,2018-06-18 17:25:06,0.154s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:25:06,2018-06-18 17:25:06,0.112s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:25:06,2018-06-18 17:25:06,0.300s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:25:06,2018-06-18 17:25:06,0.110s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:25:06,2018-06-18 17:25:06,0.126s,PASSED
